字頭,字頭,補充,古韻,擬音,,,,
誇,誇,,魚,ʌ,,,,
夸,夸,,魚,ʌ,,,,
𠇗,𠇗,,魚,ʌ,,,,
姱,姱,,魚,ʌ,,,,
侉,侉,,魚,ʌ,,,,
跨,跨,,魚,ʌ,,,,
跨,跨,,魚,ʌ,,,,
華（“花”本字）,華,（“花”本字）,魚,ʌ,,,,
竵*（“歪”本字）,竵*,（“歪”本字）,支,ə,,,,
華（光華）,華,（光華）,魚,ʌ,,,,
驊,驊,,魚,ʌ,,,,
鏵,鏵,,魚,ʌ,,,,
釫（釪）,釫,（釪）,魚,ʌ,,,,
㭉（釫釪）,㭉,（釫釪）,魚,ʌ,,,,
譁,譁,,魚,ʌ,,,,
䴳,䴳,,質,ət,,,,
滑,滑,,物,ɔt,,,,
猾,猾,,物,ɔt,,,,
䱻,䱻,,物,ɔt,,,,
螖,螖,,物,ɔt,,,,
摦,摦,,魚,ʌ,,,,
崋（山名，姓）,崋,（山名，姓）,魚,ʌ,,,,
華（同“崋”）,華,（同“崋”）,魚,ʌ,,,,
鱯,鱯,,鐸,ʌk,,,,
䋀,䋀,,支,ə,,,,
黊,黊,,支,ə,,,,
觟,觟,,支,ə,,,,
畫,畫,,錫,ək,,,,
繣,繣,,錫,ək,,,,
劃,劃,,錫,ək,,,,
嫿,嫿,,錫,ək,,,,
稞（淨榖）,稞,（淨榖）,歌,ʌl,,,,
𩸄,𩸄,,歌,ʌl,,,,
𢦚,𢦚,,歌,ʌl,,,,
化,化,,歌,ʌl,,,,
𠤎,𠤎,,歌,ʌl,,,,
諣,諣,,歌,ʌl,,,,
𩲏,𩲏,,歌,ʌl,,,,
𩵏,𩵏,,歌,ʌl,,,,
話,話,,月,ʌt,,,,
咶,咶,,月,ʌt,,,,
撾,撾,,歌,ʌl,,,,
簻,簻,,歌,ʌl,,,,
𥬸（𥬲）,𥬸,（𥬲）,歌,ʌl,,,,
髽,髽,,歌,ʌl,,,,
䵵,䵵,,月,ʌt,,,,
刷（打掃乾淨）,刷,（打掃乾淨）,月,ʌt,,,,
刷（打掃乾淨）,刷,（打掃乾淨）,月,ʌt,,,,
㕞（拭也）,㕞,（拭也）,月,ʌt,,,,
阿（大陵）,阿,（大陵）,歌,ʌl,,,,
娿,娿,,歌,ʌl,,,,
痾*（又作“疴”）,痾*,（又作“疴”）,歌,ʌl,,,,
妸,妸,,歌,ʌl,,,,
妿,妿,,歌,ʌl,,,,
廅,廅,,葉,ʌp,,,,
額,額,,鐸,ʌk,,,,
頟,頟,,鐸,ʌk,,,,
詻,詻,,鐸,ʌk,,,,
莪,莪,,歌,ʌl,,,,
哦,哦,,歌,ʌl,,,,
娥,娥,,歌,ʌl,,,,
峩（峨）,峩,（峨）,歌,ʌl,,,,
鵝,鵝,,歌,ʌl,,,,
俄,俄,,歌,ʌl,,,,
蛾,蛾,,歌,ʌl,,,,
睋,睋,,歌,ʌl,,,,
涐,涐,,歌,ʌl,,,,
誐,誐,,歌,ʌl,,,,
硪,硪,,歌,ʌl,,,,
訛,訛,,歌,ʌl,,,,
譌,譌,,歌,ʌl,,,,
吪,吪,,歌,ʌl,,,,
鈋,鈋,,歌,ʌl,,,,
囮,囮,,歌,ʌl,,,,
𨵌,𨵌,,歌,ʌl,,,,
惡（善惡）,惡,（善惡）,鐸,ʌk,,,,
堊,堊,,鐸,ʌk,,,,
蝁,蝁,,鐸,ʌk,,,,
咢（㖾）,咢,（㖾）,鐸,ʌk,,,,
愕,愕,,鐸,ʌk,,,,
鄂,鄂,,鐸,ʌk,,,,
諤,諤,,鐸,ʌk,,,,
